name,realm,rating,cls,spec,play,win,lose
Rahbekius,kazzak,1519,deathknight,blood,225,103,122
Эваер,blackscar,1506,deathknight,blood,60,29,31
Hoggster,kazzak,1416,deathknight,blood,75,28,47
Maylined,antonidas,1316,deathknight,blood,36,16,20
Horrorda,defias-brotherhood,1265,deathknight,blood,44,24,20
Nîghtmáre,ravencrest,1180,deathknight,blood,35,20,15
Ducados,forscherliga,952,deathknight,blood,24,12,12
Minoporc,archimonde,916,deathknight,blood,39,14,25
Wickedgray,outland,672,deathknight,blood,12,7,5
Schiva,eredar,607,deathknight,blood,23,7,16
Smalldk,silvermoon,574,deathknight,blood,18,6,12
Оосака,gordunni,573,deathknight,blood,24,6,18
Downtoclown,argent-dawn,480,deathknight,blood,12,5,7
Bloodzin,frostwhisper,480,deathknight,blood,12,5,7
Helixnc,silvermoon,480,deathknight,blood,12,5,7
Schwuischädl,eredar,479,deathknight,blood,12,5,7
Zdan,sylvanas,476,deathknight,blood,12,5,7
Akamechân,frostmourne,382,deathknight,blood,6,4,2
Hellcrosser,blackrock,381,deathknight,blood,12,4,8
Airok,proudmoore,381,deathknight,blood,12,4,8
Pinkish,argent-dawn,379,deathknight,blood,12,4,8
Барагган,thermaplugg,288,deathknight,blood,6,3,3
Кмамехочу,howling-fjord,288,deathknight,blood,18,3,15
Oxcidium,archimonde,287,deathknight,blood,6,3,3
Pechugona,zuljin,287,deathknight,blood,24,3,21
Dromadeus,sylvanas,286,deathknight,blood,12,3,9
Calculated,spinebreaker,192,deathknight,blood,6,2,4
Rakia,defias-brotherhood,191,deathknight,blood,12,2,10
Fixmybones,frostmane,96,deathknight,blood,6,1,5
Maradk,drakthul,96,deathknight,blood,6,1,5
Нишимба,soulflayer,2121,deathknight,unholy,90,46,44
Страхолит,soulflayer,2107,deathknight,unholy,179,89,90
Хайвейтухэлл,soulflayer,2098,deathknight,unholy,96,48,48
Conqueròr,tarren-mill,2083,deathknight,unholy,94,46,48
Кромгона,soulflayer,2023,deathknight,unholy,136,83,53
Bíllÿ,kazzak,2003,deathknight,unholy,104,56,48
Storhøf,sanguino,1982,deathknight,unholy,108,61,47
Bedstemoor,ravencrest,1982,deathknight,unholy,120,63,57
Elite,xavius,1977,deathknight,unholy,74,39,35
Leónid,kazzak,1962,deathknight,unholy,72,36,36
Enzy,drakthul,1948,deathknight,unholy,42,26,16
Hotcherryx,dun-modr,1946,deathknight,unholy,192,97,95
Дайтоолгоун,gordunni,1937,deathknight,unholy,113,56,57
Leomordf,doomhammer,1919,deathknight,unholy,244,136,108
Murky,kazzak,1918,deathknight,unholy,262,129,133
Bøby,kul-tiras,1917,deathknight,unholy,60,31,29
Shadowdeathj,kazzak,1913,deathknight,unholy,54,27,27
Vakü,burning-legion,1907,deathknight,unholy,558,275,283
Worlviuz,argent-dawn,1905,deathknight,unholy,141,70,71
Шайбовёрт,gordunni,1884,deathknight,unholy,130,66,64
Валькейн,blackscar,1883,deathknight,unholy,60,32,28
Fxckingmad,ravencrest,1883,deathknight,unholy,72,37,35
Yazga,blackmoore,1883,deathknight,unholy,65,32,33
Akaliz,die-aldor,1876,deathknight,unholy,66,35,31
Ipanic,argent-dawn,1875,deathknight,unholy,228,120,108
Eyyoo,blackmoore,1875,deathknight,unholy,70,35,35
Necrølyte,sylvanas,1874,deathknight,unholy,120,64,56
Bóby,ravencrest,1873,deathknight,unholy,297,140,157
Narali,argent-dawn,1859,deathknight,unholy,72,34,38
Likewise,twisting-nether,1853,deathknight,unholy,48,20,28
Vallenhal,twisting-nether,1850,deathknight,unholy,48,23,25
Azüla,ysondre,1848,deathknight,unholy,66,30,36
Fabricius,blackrock,1847,deathknight,unholy,66,36,30
Меланндрис,gordunni,1845,deathknight,unholy,60,44,16
Лордпафос,blackscar,1844,deathknight,unholy,66,37,29
Øtherànóther,stormscale,1843,deathknight,unholy,54,30,24
Ezlyy,ravencrest,1843,deathknight,unholy,114,60,54
Кромгон,soulflayer,1843,deathknight,unholy,61,30,31
Amnésyx,ysondre,1842,deathknight,unholy,64,32,32
Frege,tarren-mill,1839,deathknight,unholy,84,43,41
Nómòre,ravencrest,1839,deathknight,unholy,60,30,30
Mockingbirdo,sanguino,1836,deathknight,unholy,36,24,12
Fennro,ysondre,1836,deathknight,unholy,300,147,153
Аронас,blackscar,1833,deathknight,unholy,83,42,41
Lilshiet,stormreaver,1831,deathknight,unholy,66,30,36
Namzera,draenor,1827,deathknight,unholy,114,70,44
Undeadcell,ravencrest,1826,deathknight,unholy,60,34,26
Quizon,tarren-mill,1826,deathknight,unholy,84,39,45
Oj,darkspear,1825,deathknight,unholy,211,112,99
Zokko,blackrock,1820,deathknight,unholy,59,31,28
Cealdris,blackmoore,1819,deathknight,unholy,30,20,10
Обледенение,gordunni,1819,deathknight,unholy,36,19,17
Bigdickdk,ragnaros,1819,deathknight,unholy,58,27,31
Bephomet,onyxia,1819,deathknight,unholy,111,50,61
Lutcher,hellfire,1818,deathknight,unholy,36,20,16
Rankor,grim-batol,1816,deathknight,unholy,66,36,30
Necrofear,grim-batol,1816,deathknight,unholy,126,62,64
Змейняша,soulflayer,1814,deathknight,unholy,121,62,59
Aifam,twisting-nether,1813,deathknight,unholy,116,59,57
