name,realm,rating,cls,spec,play,win,lose
Phearbunny,bleeding-hollow,1547,deathknight,blood,114,59,55
Pagumon,moon-guard,1421,deathknight,blood,126,65,61
Warlôck,chogall,1399,deathknight,blood,36,19,17
Réndwarchièf,garrosh,1227,deathknight,blood,51,23,28
Kayn,malganis,1146,deathknight,blood,24,12,12
Tiumau,goldrinn,1121,deathknight,blood,66,30,36
Nbayoungboy,kiljaeden,1099,deathknight,blood,51,21,30
Corndead,area-52,1045,deathknight,blood,30,11,19
Tragül,sargeras,987,deathknight,blood,48,21,27
Bloodbukkaky,bleeding-hollow,946,deathknight,blood,61,16,45
Insonne,dalaran,921,deathknight,blood,24,11,13
Valind,eredar,854,deathknight,blood,18,9,9
Kult,azralon,841,deathknight,blood,12,9,3
Yafa,bonechewer,779,deathknight,blood,42,16,26
Jakeboyswag,shandris,767,deathknight,blood,24,8,16
He,echo-isles,668,deathknight,blood,12,7,5
Eremeir,moon-guard,576,deathknight,blood,12,6,6
Blasphemus,malganis,575,deathknight,blood,12,6,6
Kaîne,dalaran,480,deathknight,blood,12,5,7
Belfknightt,area-52,479,deathknight,blood,15,5,10
Humber,area-52,384,deathknight,blood,6,4,2
Tristam,area-52,384,deathknight,blood,6,4,2
Jennitha,zuljin,384,deathknight,blood,6,4,2
Pride,ragnaros,384,deathknight,blood,12,4,8
Mïïkes,area-52,288,deathknight,blood,6,3,3
ßläzë,baelgun,288,deathknight,blood,15,4,11
Kaloesh,drenden,288,deathknight,blood,12,3,9
Kimbøslîce,area-52,288,deathknight,blood,12,3,9
Aborblood,hyjal,286,deathknight,blood,12,3,9
Neroxzdvm,area-52,192,deathknight,blood,6,2,4
Sharnathos,stormrage,192,deathknight,blood,6,2,4
Sorvett,azralon,192,deathknight,blood,12,2,10
Cerbeefquake,wyrmrest-accord,192,deathknight,blood,12,2,10
Eteson,tichondrius,191,deathknight,blood,6,2,4
Unhølydøøm,misha,191,deathknight,blood,12,2,10
Cosmiclord,sargeras,191,deathknight,blood,18,2,16
Killteam,tichondrius,96,deathknight,blood,6,1,5
Ðrift,azralon,96,deathknight,blood,6,1,5
Plagueghoul,wyrmrest-accord,96,deathknight,blood,6,1,5
Gnargnarr,firetree,96,deathknight,blood,6,1,5
Determinate,deathwing,96,deathknight,blood,6,1,5
Lunatick,darkspear,96,deathknight,blood,6,1,5
Wowattorney,tichondrius,96,deathknight,blood,6,1,5
Boneherr,sargeras,96,deathknight,blood,6,1,5
Cozzasad,barthilas,96,deathknight,blood,6,1,5
Zerhistran,proudmoore,64,deathknight,blood,4,1,3
Hulmorr,bleeding-hollow,64,deathknight,blood,4,1,3
Partywaffles,illidan,2179,deathknight,unholy,288,149,139
Pwaff,illidan,2125,deathknight,unholy,89,45,44
Thorediks,stormrage,2106,deathknight,unholy,144,72,72
Neroxz,area-52,2105,deathknight,unholy,83,43,40
Qipara,zuljin,2104,deathknight,unholy,163,87,76
Níngjìng,tichondrius,2074,deathknight,unholy,84,43,41
Graphics,moon-guard,2062,deathknight,unholy,466,233,233
Toxicwaste,malganis,2052,deathknight,unholy,118,61,57
Spaidzz,malganis,2035,deathknight,unholy,252,125,127
Búddy,zuljin,2022,deathknight,unholy,100,49,51
Pookr,area-52,2016,deathknight,unholy,215,105,110
Flarkness,area-52,2010,deathknight,unholy,78,37,41
Veilsidé,kelthuzad,2007,deathknight,unholy,432,219,213
Vuittons,area-52,1991,deathknight,unholy,316,159,157
Andeadx,tichondrius,1984,deathknight,unholy,60,30,30
Achílles,sargeras,1979,deathknight,unholy,175,85,90
Scriptløl,sargeras,1975,deathknight,unholy,138,66,72
Ningjinglol,tichondrius,1969,deathknight,unholy,72,40,32
Darkcata,tichondrius,1962,deathknight,unholy,66,28,38
Roidboy,illidan,1956,deathknight,unholy,121,60,61
Gutterboy,malganis,1948,deathknight,unholy,99,44,55
Cardii,area-52,1946,deathknight,unholy,159,83,76
Nixonxx,tichondrius,1933,deathknight,unholy,126,78,48
Dkya,tichondrius,1928,deathknight,unholy,394,200,194
Renaming,area-52,1928,deathknight,unholy,105,52,53
Bukum,zuljin,1928,deathknight,unholy,89,39,50
Hrsb,tichondrius,1927,deathknight,unholy,142,81,61
Ceomdae,tichondrius,1927,deathknight,unholy,72,34,38
Dahnga,frostmourne,1925,deathknight,unholy,66,41,25
Ilceses,area-52,1925,deathknight,unholy,78,37,41
Harókz,azralon,1924,deathknight,unholy,125,65,60
Pradas,area-52,1924,deathknight,unholy,238,121,117
Serwestley,stormrage,1918,deathknight,unholy,125,63,62
Mårlbørø,tichondrius,1915,deathknight,unholy,41,21,20
Éternalnight,tichondrius,1913,deathknight,unholy,76,32,44
Zynyzter,malganis,1912,deathknight,unholy,72,41,31
Barakhenaku,illidan,1911,deathknight,unholy,63,33,30
Skideroth,kelthuzad,1911,deathknight,unholy,84,40,44
Killinois,tichondrius,1910,deathknight,unholy,47,21,26
Geomdae,tichondrius,1901,deathknight,unholy,71,31,40
Barelyviable,tichondrius,1898,deathknight,unholy,72,32,40
Skippee,tichondrius,1890,deathknight,unholy,69,36,33
Steamerboy,stormrage,1887,deathknight,unholy,60,28,32
Keetor,tichondrius,1883,deathknight,unholy,54,35,19
Malhandir,bleeding-hollow,1880,deathknight,unholy,41,23,18
Catarïa,tichondrius,1869,deathknight,unholy,90,44,46
Iato,sargeras,1868,deathknight,unholy,60,39,21
Juelzjerk,tichondrius,1868,deathknight,unholy,229,116,113
Bbidd,tichondrius,1867,deathknight,unholy,48,30,18
Annoyed,wyrmrest-accord,1867,deathknight,unholy,125,68,57
Evilduck,ragnaros,1866,deathknight,unholy,90,51,39
Bloodbruh,blackrock,1863,deathknight,unholy,90,49,41
Goonaa,tichondrius,1861,deathknight,unholy,66,33,33
Cavaliers,ragnaros,1860,deathknight,unholy,66,32,34
Lattè,area-52,1859,deathknight,unholy,55,30,25
Chimps,illidan,1858,deathknight,unholy,58,32,26
Nürgle,black-dragonflight,1856,deathknight,unholy,280,143,137
Lagérthâ,ragnaros,1855,deathknight,unholy,72,35,37
Claudio,tichondrius,1853,deathknight,unholy,93,37,56
Brutos,thrall,1851,deathknight,unholy,104,56,48
Tduggylolz,tichondrius,1851,deathknight,unholy,60,26,34
Sagadk,hyjal,1850,deathknight,unholy,112,56,56
Morbiddesire,stormrage,1849,deathknight,unholy,87,49,38
Thotiannaqt,area-52,1847,deathknight,unholy,124,61,63
Deuter,quelthalas,1845,deathknight,unholy,315,168,147
Keomdae,tichondrius,1844,deathknight,unholy,65,32,33
Tokyotimxx,malganis,1842,deathknight,unholy,48,30,18
Cloüd,wyrmrest-accord,1841,deathknight,unholy,64,31,33
Bicepsüal,zuljin,1840,deathknight,unholy,36,28,8
Nevermore,hyjal,1840,deathknight,unholy,125,67,58
Bruceleedk,tichondrius,1839,deathknight,unholy,100,51,49
Warrcc,steamwheedle-cartel,1839,deathknight,unholy,54,26,28
Siêgfriëd,ragnaros,1839,deathknight,unholy,72,33,39
Blackfyré,sargeras,1837,deathknight,unholy,62,32,30
Aidsbenedict,malganis,1837,deathknight,unholy,126,59,67
Vigarst,azralon,1835,deathknight,unholy,60,30,30
Haldevarik,doomhammer,1834,deathknight,unholy,78,43,35
Vaizard,malganis,1832,deathknight,unholy,42,26,16
Dazarune,burning-blade,1832,deathknight,unholy,46,25,21
Starshopping,proudmoore,1832,deathknight,unholy,109,54,55
Orphanmakerx,area-52,1832,deathknight,unholy,123,60,63
Goonà,tichondrius,1831,deathknight,unholy,63,29,34
Didri,quelthalas,1831,deathknight,unholy,84,37,47
Aurious,lightnings-blade,1830,deathknight,unholy,84,47,37
Kortingert,nagrand,1830,deathknight,unholy,59,33,26
Drauguss,azralon,1830,deathknight,unholy,124,61,63
Anatøly,ragnaros,1827,deathknight,unholy,42,21,21
Daoniancc,tichondrius,1825,deathknight,unholy,399,208,191
Demonboyjr,tichondrius,1825,deathknight,unholy,87,39,48
Arthez,frostmourne,1824,deathknight,unholy,72,38,34
Sadboy,grizzly-hills,1822,deathknight,unholy,65,27,38
Áethros,malganis,1821,deathknight,unholy,108,52,56
