realm,rating,cls,spec,play,win,lose
blackscar,1549,deathknight,blood,48,25,23
kazzak,1055,deathknight,blood,36,11,25
eredar,252,deathknight,blood,11,3,8
ravencrest,2023,deathknight,unholy,108,51,57
argent-dawn,2021,deathknight,unholy,99,53,46
drakthul,1948,deathknight,unholy,42,26,16
kazzak,1913,deathknight,unholy,54,27,27
tarren-mill,1903,deathknight,unholy,54,24,30
ravencrest,1899,deathknight,unholy,60,30,30
blackscar,1883,deathknight,unholy,60,32,28
die-aldor,1876,deathknight,unholy,66,35,31
soulflayer,1874,deathknight,unholy,66,32,34
burning-legion,1866,deathknight,unholy,108,49,59
argent-dawn,1859,deathknight,unholy,72,34,38
kazzak,1852,deathknight,unholy,60,29,31
gordunni,1851,deathknight,unholy,65,31,34
twisting-nether,1850,deathknight,unholy,48,23,25
doomhammer,1847,deathknight,unholy,57,40,17
sanguino,1836,deathknight,unholy,36,24,12
ysondre,1835,deathknight,unholy,58,30,28
stormreaver,1831,deathknight,unholy,66,30,36
draenor,1827,deathknight,unholy,114,70,44
silvermoon,1827,deathknight,unholy,54,32,22
blackmoore,1819,deathknight,unholy,30,20,10
gordunni,1819,deathknight,unholy,36,19,17
silvermoon,1812,deathknight,unholy,64,40,24
soulflayer,1809,deathknight,unholy,36,28,8
gordunni,1809,deathknight,unholy,57,28,29
ravencrest,1807,deathknight,unholy,78,41,37
gordunni,1805,deathknight,unholy,78,37,41
silvermoon,1789,deathknight,unholy,72,36,36
kazzak,1780,deathknight,unholy,54,27,27
silvermoon,1769,deathknight,unholy,36,19,17
ravencrest,1749,deathknight,unholy,45,24,21
draenor,1732,deathknight,unholy,41,23,18
twisting-nether,1717,deathknight,unholy,65,30,35
tarren-mill,1715,deathknight,unholy,47,24,23
argent-dawn,1713,deathknight,unholy,30,18,12
khaz-modan,1712,deathknight,unholy,54,33,21
blackmoore,1712,deathknight,unholy,148,70,78
hyjal,1698,deathknight,unholy,74,38,36
gordunni,1689,deathknight,unholy,78,46,32
ashenvale,1685,deathknight,unholy,54,27,27
stormscale,1676,deathknight,unholy,102,53,49
blackrock,1662,deathknight,unholy,58,33,25
blackrock,1659,deathknight,unholy,42,22,20
ravencrest,1656,deathknight,unholy,30,18,12
argent-dawn,1656,deathknight,unholy,139,64,75
tarren-mill,1655,deathknight,unholy,48,28,20
outland,1652,deathknight,unholy,71,35,36
argent-dawn,1649,deathknight,unholy,55,31,24
stormscale,1636,deathknight,unholy,48,21,27
draenor,1625,deathknight,unholy,96,42,54
howling-fjord,1618,deathknight,unholy,42,19,23
stormscale,1614,deathknight,unholy,48,17,31
stormscale,1611,deathknight,unholy,72,41,31
soulflayer,1590,deathknight,unholy,42,20,22
ragnaros,1585,deathknight,unholy,48,22,26
silvermoon,1583,deathknight,unholy,55,28,27
chants-éternels,1574,deathknight,unholy,30,18,12
blackscar,1570,deathknight,unholy,36,19,17
blackrock,1566,deathknight,unholy,35,20,15
dentarg,1557,deathknight,unholy,112,58,54
ragnaros,1554,deathknight,unholy,54,21,33
ravencrest,1551,deathknight,unholy,83,40,43
soulflayer,1547,deathknight,unholy,66,22,44
blackscar,1542,deathknight,unholy,86,45,41
blackrock,1535,deathknight,unholy,48,28,20
silvermoon,1533,deathknight,unholy,30,16,14
gordunni,1532,deathknight,unholy,78,38,40
silvermoon,1530,deathknight,unholy,36,16,20
kirin-tor,1526,deathknight,unholy,30,19,11
antonidas,1524,deathknight,unholy,75,36,39
kazzak,1523,deathknight,unholy,41,17,24
ravencrest,1507,deathknight,unholy,54,22,32
nemesis,1504,deathknight,unholy,30,16,14
bladefist,1503,deathknight,unholy,60,22,38
alakir,1502,deathknight,unholy,36,21,15
outland,1501,deathknight,unholy,88,45,43
die-aldor,1493,deathknight,unholy,39,20,19
grom,1490,deathknight,unholy,30,16,14
twisting-nether,1467,deathknight,unholy,36,20,16
zenedar,1467,deathknight,unholy,48,17,31
nozdormu,1456,deathknight,unholy,42,21,21
draenor,1453,deathknight,unholy,69,34,35
norgannon,1450,deathknight,unholy,35,23,12
stormscale,1448,deathknight,unholy,53,28,25
ragnaros,1444,deathknight,unholy,38,20,18
ravencrest,1437,deathknight,unholy,24,15,9
sanguino,1435,deathknight,unholy,24,15,9
kazzak,1435,deathknight,unholy,42,15,27
dun-modr,1428,deathknight,unholy,54,29,25
gordunni,1425,deathknight,unholy,30,15,15
howling-fjord,1424,deathknight,unholy,57,28,29
ragnaros,1422,deathknight,unholy,36,15,21
frostwolf,1421,deathknight,unholy,66,37,29
kragjin,1421,deathknight,unholy,49,22,27
deepholm,1412,deathknight,unholy,36,16,20
ravencrest,1409,deathknight,unholy,52,29,23
tarren-mill,1409,deathknight,unholy,63,31,32
tarren-mill,1396,deathknight,unholy,32,16,16
soulflayer,1386,deathknight,unholy,32,16,16
