,name,realm,rating,cls,spec,play,win,lose
0,Rahbekius,kazzak,1529,deathknight,blood,84,32,52
1,Эваер,blackscar,1506,deathknight,blood,60,29,31
2,Оосака,gordunni,573,deathknight,blood,24,6,18
3,Nîghtmáre,ravencrest,462,deathknight,blood,11,5,6
4,Horrorda,defias-brotherhood,446,deathknight,blood,9,6,3
5,Кмамехочу,howling-fjord,288,deathknight,blood,18,3,15
6,Schiva,eredar,252,deathknight,blood,11,3,8
7,Хайвейтухэлл,soulflayer,2098,deathknight,unholy,96,48,48
8,Conqueròr,tarren-mill,2083,deathknight,unholy,94,46,48
9,Bóby,ravencrest,2050,deathknight,unholy,156,76,80
10,Кромгона,soulflayer,2036,deathknight,unholy,83,57,26
11,Leónid,kazzak,1962,deathknight,unholy,72,36,36
12,Vakü,burning-legion,1962,deathknight,unholy,178,87,91
13,Bedstemoor,ravencrest,1955,deathknight,unholy,90,47,43
14,Enzy,drakthul,1948,deathknight,unholy,42,26,16
15,Дайтоолгоун,gordunni,1937,deathknight,unholy,113,56,57
16,Murky,kazzak,1935,deathknight,unholy,126,61,65
17,Ipanic,argent-dawn,1930,deathknight,unholy,114,65,49
18,Шайбовёрт,gordunni,1918,deathknight,unholy,72,38,34
19,Shadowdeathj,kazzak,1913,deathknight,unholy,54,27,27
20,Валькейн,blackscar,1883,deathknight,unholy,60,32,28
21,Akaliz,die-aldor,1876,deathknight,unholy,66,35,31
22,Narali,argent-dawn,1859,deathknight,unholy,72,34,38
23,Fxckingmad,ravencrest,1856,deathknight,unholy,60,30,30
24,Vallenhal,twisting-nether,1850,deathknight,unholy,48,23,25
25,Azüla,ysondre,1848,deathknight,unholy,66,30,36
26,Worlviuz,argent-dawn,1847,deathknight,unholy,123,59,64
27,Меланндрис,gordunni,1845,deathknight,unholy,60,44,16
28,Øtherànóther,stormscale,1843,deathknight,unholy,54,30,24
29,Ezlyy,ravencrest,1843,deathknight,unholy,114,60,54
30,Amnésyx,ysondre,1842,deathknight,unholy,64,32,32
31,Nómòre,ravencrest,1839,deathknight,unholy,60,30,30
32,Mockingbirdo,sanguino,1836,deathknight,unholy,36,24,12
33,Leomordf,doomhammer,1832,deathknight,unholy,130,76,54
34,Lilshiet,stormreaver,1831,deathknight,unholy,66,30,36
35,Namzera,draenor,1827,deathknight,unholy,114,70,44
36,Неондк,eversong,1821,deathknight,unholy,104,53,51
37,Zokko,blackrock,1820,deathknight,unholy,59,31,28
38,Cealdris,blackmoore,1819,deathknight,unholy,30,20,10
39,Обледенение,gordunni,1819,deathknight,unholy,36,19,17
40,Mávé,tarren-mill,1819,deathknight,unholy,59,31,28
41,Rankor,grim-batol,1816,deathknight,unholy,66,36,30
42,Necrofear,grim-batol,1816,deathknight,unholy,126,62,64
43,Argonat,silvermoon,1814,deathknight,unholy,99,57,42
