realm,rating,cls,spec,play,win,lose
bleeding-hollow,1523,deathknight,blood,60,31,29
bleeding-hollow,956,deathknight,blood,24,10,14
eredar,670,deathknight,blood,12,7,5
malganis,575,deathknight,blood,12,6,6
area-52,384,deathknight,blood,6,4,2
moon-guard,288,deathknight,blood,12,3,9
illidan,2105,deathknight,unholy,98,53,45
tichondrius,2041,deathknight,unholy,78,41,37
moon-guard,1974,deathknight,unholy,113,54,59
kelthuzad,1972,deathknight,unholy,108,56,52
tichondrius,1960,deathknight,unholy,57,33,24
malganis,1957,deathknight,unholy,92,44,48
the-scryers,1927,deathknight,unholy,77,45,32
area-52,1920,deathknight,unholy,83,40,43
sargeras,1918,deathknight,unholy,108,49,59
malganis,1912,deathknight,unholy,72,41,31
illidan,1903,deathknight,unholy,73,35,38
area-52,1890,deathknight,unholy,59,28,31
malganis,1879,deathknight,unholy,84,42,42
kargath,1859,deathknight,unholy,75,47,28
area-52,1859,deathknight,unholy,55,30,25
sargeras,1854,deathknight,unholy,78,33,45
frostmourne,1852,deathknight,unholy,156,87,69
black-dragonflight,1851,deathknight,unholy,48,31,17
ragnaros,1827,deathknight,unholy,42,21,21
stormrage,1820,deathknight,unholy,59,31,28
tichondrius,1820,deathknight,unholy,58,27,31
malganis,1816,deathknight,unholy,56,27,29
ragnaros,1813,deathknight,unholy,42,20,22
area-52,1812,deathknight,unholy,66,32,34
tichondrius,1807,deathknight,unholy,59,35,24
tichondrius,1806,deathknight,unholy,48,25,23
ragnaros,1803,deathknight,unholy,66,29,37
proudmoore,1800,deathknight,unholy,37,20,17
firetree,1790,deathknight,unholy,61,33,28
emerald-dream,1784,deathknight,unholy,56,28,28
tichondrius,1781,deathknight,unholy,60,29,31
tichondrius,1779,deathknight,unholy,35,27,8
bleeding-hollow,1756,deathknight,unholy,66,29,37
tichondrius,1751,deathknight,unholy,48,26,22
stormrage,1739,deathknight,unholy,57,30,27
doomhammer,1734,deathknight,unholy,66,33,33
maiev,1721,deathknight,unholy,95,48,47
azralon,1707,deathknight,unholy,75,36,39
jubeithos,1705,deathknight,unholy,45,26,19
frostmourne,1694,deathknight,unholy,72,38,34
ragnaros,1694,deathknight,unholy,54,27,27
ragnaros,1687,deathknight,unholy,30,19,11
azralon,1678,deathknight,unholy,40,21,19
malganis,1667,deathknight,unholy,42,23,19
drakkari,1663,deathknight,unholy,42,22,20
sargeras,1650,deathknight,unholy,60,31,29
azralon,1645,deathknight,unholy,36,22,14
tichondrius,1644,deathknight,unholy,45,24,21
gorefiend,1631,deathknight,unholy,48,23,25
emerald-dream,1629,deathknight,unholy,54,30,24
ysera,1629,deathknight,unholy,65,35,30
bonechewer,1627,deathknight,unholy,29,20,9
barthilas,1626,deathknight,unholy,39,20,19
thrall,1625,deathknight,unholy,71,39,32
garona,1618,deathknight,unholy,64,33,31
wyrmrest-accord,1607,deathknight,unholy,52,27,25
area-52,1606,deathknight,unholy,54,21,33
barthilas,1605,deathknight,unholy,83,40,43
perenolde,1605,deathknight,unholy,59,23,36
azralon,1601,deathknight,unholy,90,54,36
quelthalas,1581,deathknight,unholy,36,19,17
proudmoore,1578,deathknight,unholy,45,22,23
stormrage,1573,deathknight,unholy,40,20,20
proudmoore,1571,deathknight,unholy,48,22,26
illidan,1564,deathknight,unholy,47,25,22
daggerspine,1563,deathknight,unholy,30,17,13
proudmoore,1550,deathknight,unholy,90,43,47
azralon,1544,deathknight,unholy,65,32,33
moon-guard,1541,deathknight,unholy,42,21,21
illidan,1530,deathknight,unholy,24,16,8
ragnaros,1521,deathknight,unholy,33,17,16
moon-guard,1517,deathknight,unholy,30,16,14
maiev,1517,deathknight,unholy,65,23,42
bleeding-hollow,1514,deathknight,unholy,65,35,30
illidan,1509,deathknight,unholy,97,52,45
sargeras,1507,deathknight,unholy,30,17,13
lightnings-blade,1507,deathknight,unholy,36,16,20
tichondrius,1502,deathknight,unholy,43,18,25
quelthalas,1495,deathknight,unholy,72,30,42
malganis,1481,deathknight,unholy,108,55,53
kelthuzad,1476,deathknight,unholy,41,16,25
illidan,1464,deathknight,unholy,42,19,23
stormrage,1454,deathknight,unholy,42,28,14
tichondrius,1454,deathknight,unholy,60,33,27
shattered-hand,1453,deathknight,unholy,62,33,29
blackhand,1451,deathknight,unholy,85,52,33
the-venture-co,1449,deathknight,unholy,42,23,19
tichondrius,1447,deathknight,unholy,36,21,15
moonrunner,1444,deathknight,unholy,33,18,15
sargeras,1439,deathknight,unholy,33,17,16
cenarion-circle,1432,deathknight,unholy,24,15,9
tichondrius,1428,deathknight,unholy,24,15,9
malganis,1425,deathknight,unholy,30,15,15
sargeras,1415,deathknight,unholy,30,15,15
dalaran,1410,deathknight,unholy,99,53,46
moon-guard,1406,deathknight,unholy,65,31,34
proudmoore,1405,deathknight,unholy,54,25,29
kelthuzad,1402,deathknight,unholy,43,16,27
borean-tundra,1395,deathknight,unholy,66,30,36
area-52,1392,deathknight,unholy,30,15,15
kelthuzad,1390,deathknight,unholy,30,15,15
ghostlands,1380,deathknight,unholy,50,26,24
illidan,1374,deathknight,unholy,24,16,8
moon-guard,1371,deathknight,unholy,78,42,36
tichondrius,1366,deathknight,unholy,42,16,26
frostmourne,1359,deathknight,unholy,33,16,17
quelthalas,1357,deathknight,unholy,61,28,33
blackrock,1349,deathknight,unholy,45,24,21
tichondrius,1341,deathknight,unholy,24,14,10
steamwheedle-cartel,1340,deathknight,unholy,30,14,16
ragnaros,1333,deathknight,unholy,51,31,20
shandris,1330,deathknight,unholy,36,18,18
sargeras,1323,deathknight,unholy,45,17,28
dalaran,1321,deathknight,unholy,30,15,15
zuljin,1321,deathknight,unholy,30,14,16
hyjal,1316,deathknight,unholy,30,17,13
firetree,1303,deathknight,unholy,30,16,14
frostwolf,1302,deathknight,unholy,36,14,22
moon-guard,1288,deathknight,unholy,38,17,21
sargeras,1277,deathknight,unholy,26,14,12
kelthuzad,1273,deathknight,unholy,60,35,25
gorefiend,1262,deathknight,unholy,41,17,24
misha,1258,deathknight,unholy,48,25,23
bleeding-hollow,1251,deathknight,unholy,23,14,9
tichondrius,1248,deathknight,unholy,24,13,11
azralon,1246,deathknight,unholy,24,13,11
moon-guard,1246,deathknight,unholy,39,21,18
tichondrius,1246,deathknight,unholy,30,13,17
tichondrius,1240,deathknight,unholy,36,13,23
tichondrius,1239,deathknight,unholy,24,14,10
bleeding-hollow,1234,deathknight,unholy,30,13,17
malganis,1223,deathknight,unholy,36,19,17
dalaran,1222,deathknight,unholy,30,13,17
sargeras,1221,deathknight,unholy,48,21,27
azralon,1182,deathknight,unholy,23,13,10
ragnaros,1169,deathknight,unholy,24,13,11
arthas,1167,deathknight,unholy,28,13,15
tichondrius,1152,deathknight,unholy,24,12,12
quelthalas,1151,deathknight,unholy,25,12,13
zuljin,1150,deathknight,unholy,18,12,6
tichondrius,1150,deathknight,unholy,24,12,12
borean-tundra,1149,deathknight,unholy,24,12,12
illidan,1144,deathknight,unholy,18,12,6
ragnaros,1143,deathknight,unholy,18,12,6
thrall,1142,deathknight,unholy,18,12,6
anvilmar,1140,deathknight,unholy,24,12,12
doomhammer,1136,deathknight,unholy,38,18,20
emerald-dream,1117,deathknight,unholy,24,13,11
malganis,1105,deathknight,unholy,29,12,17
zuljin,1103,deathknight,unholy,32,17,15
tichondrius,1087,deathknight,unholy,34,12,22
aegwynn,1086,deathknight,unholy,26,12,14
tichondrius,1056,deathknight,unholy,18,11,7
gorgonnash,1056,deathknight,unholy,33,16,17
tichondrius,1056,deathknight,unholy,30,11,19
sargeras,1055,deathknight,unholy,18,11,7
frostmourne,1055,deathknight,unholy,24,11,13
tichondrius,1055,deathknight,unholy,24,11,13
tichondrius,1055,deathknight,unholy,30,11,19
area-52,1054,deathknight,unholy,18,11,7
tichondrius,1053,deathknight,unholy,18,11,7
stormreaver,1053,deathknight,unholy,24,11,13
ragnaros,1052,deathknight,unholy,18,11,7
shadowmoon,1051,deathknight,unholy,30,11,19
shadowmoon,1049,deathknight,unholy,18,11,7
wyrmrest-accord,1041,deathknight,unholy,24,11,13
nemesis,1039,deathknight,unholy,24,11,13
arthas,1034,deathknight,unholy,23,12,11
moon-guard,1031,deathknight,unholy,30,11,19
caelestrasz,1027,deathknight,unholy,54,17,37
sargeras,1025,deathknight,unholy,20,11,9
hyjal,1009,deathknight,unholy,18,12,6
azjolnerub,963,deathknight,unholy,55,20,35
stormrage,960,deathknight,unholy,18,10,8
illidan,959,deathknight,unholy,12,10,2
tichondrius,959,deathknight,unholy,24,10,14
darrowmere,958,deathknight,unholy,18,10,8
area-52,957,deathknight,unholy,24,10,14
garrosh,956,deathknight,unholy,24,10,14
nemesis,951,deathknight,unholy,23,11,12
eredar,947,deathknight,unholy,18,10,8
darrowmere,913,deathknight,unholy,18,11,7
ragnaros,907,deathknight,unholy,17,10,7
tichondrius,895,deathknight,unholy,17,10,7
bleeding-hollow,885,deathknight,unholy,26,10,16
tichondrius,864,deathknight,unholy,12,9,3
tichondrius,864,deathknight,unholy,12,9,3
illidan,864,deathknight,unholy,12,9,3
tichondrius,864,deathknight,unholy,18,9,9
area-52,864,deathknight,unholy,18,9,9
tichondrius,864,deathknight,unholy,18,9,9
area-52,864,deathknight,unholy,24,9,15
aggramar,863,deathknight,unholy,18,9,9
skullcrusher,862,deathknight,unholy,18,9,9
ragnaros,862,deathknight,unholy,24,9,15
sargeras,861,deathknight,unholy,12,9,3
sargeras,861,deathknight,unholy,18,9,9
malganis,860,deathknight,unholy,12,9,3
kalecgos,859,deathknight,unholy,19,9,10
aerie-peak,856,deathknight,unholy,24,9,15
zuljin,854,deathknight,unholy,12,9,3
eredar,854,deathknight,unholy,18,9,9
ragnaros,853,deathknight,unholy,22,10,12
grizzly-hills,831,deathknight,unholy,17,9,8
tichondrius,793,deathknight,unholy,14,9,5
sargeras,781,deathknight,unholy,13,9,4
illidan,768,deathknight,unholy,12,8,4
illidan,768,deathknight,unholy,15,9,6
thrall,768,deathknight,unholy,15,9,6
area-52,768,deathknight,unholy,18,8,10
tichondrius,768,deathknight,unholy,18,8,10
azralon,768,deathknight,unholy,18,8,10
area-52,768,deathknight,unholy,24,8,16
tichondrius,768,deathknight,unholy,24,8,16
stormrage,768,deathknight,unholy,24,8,16
tichondrius,768,deathknight,unholy,24,8,16
malganis,767,deathknight,unholy,12,8,4
quelthalas,767,deathknight,unholy,18,8,10
norgannon,766,deathknight,unholy,18,8,10
saurfang,765,deathknight,unholy,12,8,4
thrall,735,deathknight,unholy,17,8,9
tichondrius,735,deathknight,unholy,17,8,9
area-52,735,deathknight,unholy,17,8,9
twisting-nether,719,deathknight,unholy,17,8,9
ragnaros,718,deathknight,unholy,15,8,7
sargeras,703,deathknight,unholy,16,8,8
tichondrius,700,deathknight,unholy,14,8,6
frostmourne,672,deathknight,unholy,12,7,5
bleeding-hollow,672,deathknight,unholy,12,7,5
gilneas,672,deathknight,unholy,12,7,5
blades-edge,672,deathknight,unholy,12,7,5
tichondrius,672,deathknight,unholy,12,7,5
emerald-dream,672,deathknight,unholy,12,7,5
ravenholdt,672,deathknight,unholy,12,7,5
sargeras,672,deathknight,unholy,14,7,7
nagrand,672,deathknight,unholy,18,7,11
tichondrius,672,deathknight,unholy,18,7,11
tichondrius,672,deathknight,unholy,18,7,11
tichondrius,672,deathknight,unholy,18,7,11
stormrage,672,deathknight,unholy,18,7,11
dalaran,672,deathknight,unholy,18,7,11
area-52,672,deathknight,unholy,24,7,17
stormrage,672,deathknight,unholy,24,7,17
illidan,672,deathknight,unholy,24,7,17
zuljin,671,deathknight,unholy,12,7,5
archimonde,671,deathknight,unholy,18,7,11
quelthalas,671,deathknight,unholy,18,7,11
tichondrius,669,deathknight,unholy,12,7,5
frostmourne,669,deathknight,unholy,12,7,5
illidan,666,deathknight,unholy,21,8,13
tichondrius,639,deathknight,unholy,11,7,4
ragnaros,639,deathknight,unholy,17,7,10
kelthuzad,623,deathknight,unholy,11,7,4
moon-guard,607,deathknight,unholy,11,7,4
bleeding-hollow,576,deathknight,unholy,6,6,0
bleeding-hollow,576,deathknight,unholy,6,6,0
tichondrius,576,deathknight,unholy,12,6,6
ragnaros,576,deathknight,unholy,12,6,6
ragnaros,576,deathknight,unholy,12,6,6
tichondrius,576,deathknight,unholy,12,6,6
malganis,576,deathknight,unholy,12,6,6
emerald-dream,576,deathknight,unholy,12,6,6
area-52,576,deathknight,unholy,12,6,6
arthas,576,deathknight,unholy,12,6,6
tichondrius,576,deathknight,unholy,12,6,6
ysera,576,deathknight,unholy,12,6,6
area-52,576,deathknight,unholy,12,6,6
proudmoore,576,deathknight,unholy,12,6,6
caelestrasz,576,deathknight,unholy,12,6,6
destromath,576,deathknight,unholy,12,6,6
the-venture-co,576,deathknight,unholy,12,6,6
blackrock,576,deathknight,unholy,12,6,6
zuljin,576,deathknight,unholy,12,6,6
kelthuzad,576,deathknight,unholy,18,6,12
ragnaros,576,deathknight,unholy,18,6,12
thrall,576,deathknight,unholy,18,6,12
tichondrius,576,deathknight,unholy,18,6,12
zuljin,576,deathknight,unholy,18,6,12
area-52,576,deathknight,unholy,18,6,12
area-52,576,deathknight,unholy,18,6,12
azralon,575,deathknight,unholy,12,6,6
executus,575,deathknight,unholy,12,6,6
tichondrius,575,deathknight,unholy,12,6,6
uther,575,deathknight,unholy,12,6,6
area-52,575,deathknight,unholy,15,7,8
darkspear,574,deathknight,unholy,18,6,12
bonechewer,572,deathknight,unholy,12,6,6
barthilas,558,deathknight,unholy,13,7,6
tichondrius,544,deathknight,unholy,10,7,3
area-52,543,deathknight,unholy,11,6,5
area-52,527,deathknight,unholy,11,6,5
illidan,522,deathknight,unholy,20,7,13
tichondrius,522,deathknight,unholy,22,7,15
vashj,480,deathknight,unholy,6,5,1
kelthuzad,480,deathknight,unholy,6,5,1
shandris,480,deathknight,unholy,6,5,1
doomhammer,480,deathknight,unholy,6,5,1
barthilas,480,deathknight,unholy,6,5,1
illidan,480,deathknight,unholy,12,5,7
stormrage,480,deathknight,unholy,12,5,7
illidan,480,deathknight,unholy,12,5,7
stormrage,480,deathknight,unholy,12,5,7
sargeras,480,deathknight,unholy,12,5,7
tichondrius,480,deathknight,unholy,12,5,7
ragnaros,480,deathknight,unholy,12,5,7
kiljaeden,480,deathknight,unholy,12,5,7
turalyon,480,deathknight,unholy,12,5,7
stormrage,480,deathknight,unholy,12,5,7
turalyon,480,deathknight,unholy,12,5,7
aerie-peak,480,deathknight,unholy,12,5,7
frostmourne,480,deathknight,unholy,12,5,7
elune,480,deathknight,unholy,12,5,7
chogall,480,deathknight,unholy,12,5,7
illidan,480,deathknight,unholy,12,5,7
tichondrius,480,deathknight,unholy,18,5,13
sargeras,480,deathknight,unholy,18,5,13
bonechewer,480,deathknight,unholy,18,5,13
thunderlord,480,deathknight,unholy,18,5,13
proudmoore,480,deathknight,unholy,24,5,19
akama,479,deathknight,unholy,12,5,7
queldorei,479,deathknight,unholy,12,5,7
malganis,479,deathknight,unholy,12,5,7
kiljaeden,479,deathknight,unholy,12,5,7
tichondrius,479,deathknight,unholy,12,5,7
burning-legion,472,deathknight,unholy,12,5,7
bleeding-hollow,463,deathknight,unholy,17,5,12
ysera,432,deathknight,unholy,9,6,3
malganis,431,deathknight,unholy,11,5,6
tichondrius,416,deathknight,unholy,10,5,5
eitrigg,416,deathknight,unholy,10,5,5
illidan,415,deathknight,unholy,8,5,3
muradin,412,deathknight,unholy,8,5,3
echo-isles,399,deathknight,unholy,5,5,0
tichondrius,384,deathknight,unholy,6,4,2
sargeras,384,deathknight,unholy,6,4,2
tichondrius,384,deathknight,unholy,6,4,2
burning-legion,384,deathknight,unholy,6,4,2
tichondrius,384,deathknight,unholy,6,4,2
illidan,384,deathknight,unholy,6,4,2
malganis,384,deathknight,unholy,6,4,2
moon-guard,384,deathknight,unholy,6,4,2
