name,realm,rating,cls,spec,play,win,lose
Phearbunny,bleeding-hollow,1608,deathknight,blood,135,72,63
Pagumon,moon-guard,1421,deathknight,blood,126,65,61
Warlôck,chogall,1399,deathknight,blood,36,19,17
Kayn,malganis,1359,deathknight,blood,83,36,47
Corndead,area-52,1277,deathknight,blood,36,14,22
Réndwarchièf,garrosh,1227,deathknight,blood,51,23,28
Nbayoungboy,kiljaeden,1099,deathknight,blood,51,21,30
Tiumau,goldrinn,1094,deathknight,blood,97,45,52
Insonne,dalaran,1003,deathknight,blood,36,18,18
Tragül,sargeras,987,deathknight,blood,48,21,27
Bloodbukkaky,bleeding-hollow,946,deathknight,blood,61,16,45
Cerbeefquake,wyrmrest-accord,868,deathknight,blood,62,19,43
Where,chogall,863,deathknight,blood,18,9,9
Valind,eredar,854,deathknight,blood,18,9,9
Kult,azralon,841,deathknight,blood,12,9,3
Exur,stormrage,839,deathknight,blood,30,9,21
Yafa,bonechewer,779,deathknight,blood,42,16,26
Jakeboyswag,shandris,767,deathknight,blood,24,8,16
He,echo-isles,668,deathknight,blood,12,7,5
Graventhel,tichondrius,667,deathknight,blood,24,7,17
Eremeir,moon-guard,576,deathknight,blood,12,6,6
Blasphemus,malganis,575,deathknight,blood,12,6,6
Kaîne,dalaran,480,deathknight,blood,12,5,7
Belfknightt,area-52,479,deathknight,blood,15,5,10
Lildeathdude,anvilmar,384,deathknight,blood,6,4,2
Tristam,area-52,384,deathknight,blood,6,4,2
Humber,area-52,384,deathknight,blood,6,4,2
Gerrog,zuljin,384,deathknight,blood,12,4,8
Cozzasad,jubeithos,384,deathknight,blood,12,4,8
Pride,ragnaros,384,deathknight,blood,12,4,8
Cleofas,tichondrius,382,deathknight,blood,6,4,2
Mïïkes,area-52,288,deathknight,blood,6,3,3
Nungetsnone,dalaran,288,deathknight,blood,6,3,3
ßläzë,baelgun,288,deathknight,blood,15,4,11
Kimbøslîce,area-52,288,deathknight,blood,12,3,9
Kaloesh,drenden,288,deathknight,blood,12,3,9
Aborblood,hyjal,286,deathknight,blood,12,3,9
Igiveherp,zuljin,192,deathknight,blood,6,2,4
Neroxzdvm,area-52,192,deathknight,blood,6,2,4
Deanlas,moon-guard,192,deathknight,blood,6,2,4
Baracka,sargeras,192,deathknight,blood,6,2,4
Theronranger,kelthuzad,192,deathknight,blood,6,2,4
Sharnathos,stormrage,192,deathknight,blood,6,2,4
Sorvett,azralon,192,deathknight,blood,12,2,10
Eteson,tichondrius,191,deathknight,blood,6,2,4
Unhølydøøm,misha,191,deathknight,blood,12,2,10
Cosmiclord,sargeras,191,deathknight,blood,18,2,16
Gnargnarr,firetree,96,deathknight,blood,6,1,5
Plagueghoul,wyrmrest-accord,96,deathknight,blood,6,1,5
Killteam,tichondrius,96,deathknight,blood,6,1,5
Luciknight,nemesis,96,deathknight,blood,6,1,5
Festr,sargeras,96,deathknight,blood,6,1,5
Ðrift,azralon,96,deathknight,blood,6,1,5
Wowattorney,tichondrius,96,deathknight,blood,6,1,5
Lunatick,darkspear,96,deathknight,blood,6,1,5
Determinate,deathwing,96,deathknight,blood,6,1,5
Kanghouly,moon-guard,96,deathknight,blood,6,1,5
Rykiforst,tichondrius,96,deathknight,blood,12,1,11
Hulmorr,bleeding-hollow,64,deathknight,blood,4,1,3
Zerhistran,proudmoore,64,deathknight,blood,4,1,3
Pookr,area-52,2198,deathknight,unholy,323,164,159
Partywaffles,illidan,2179,deathknight,unholy,288,149,139
Thorediks,stormrage,2158,deathknight,unholy,180,91,89
Graphics,moon-guard,2143,deathknight,unholy,592,299,293
Veilsidé,kelthuzad,2122,deathknight,unholy,456,235,221
Neroxz,area-52,2105,deathknight,unholy,83,43,40
Hsivonarap,zuljin,2104,deathknight,unholy,163,87,76
Spaidzz,malganis,2101,deathknight,unholy,303,153,150
Níngjìng,tichondrius,2074,deathknight,unholy,84,43,41
Búddy,zuljin,2058,deathknight,unholy,118,59,59
Toxicwaste,malganis,2052,deathknight,unholy,118,61,57
Pwaff,illidan,2046,deathknight,unholy,155,74,81
Ningjinglol,tichondrius,2040,deathknight,unholy,131,72,59
Renaming,area-52,2024,deathknight,unholy,140,73,67
Skideroth,kelthuzad,2024,deathknight,unholy,114,59,55
Stankybreath,bleeding-hollow,2021,deathknight,unholy,203,109,94
Juelzjerk,tichondrius,2017,deathknight,unholy,304,159,145
Attack,grizzly-hills,2014,deathknight,unholy,84,43,41
Flarkness,area-52,2010,deathknight,unholy,78,37,41
Supblood,tichondrius,1999,deathknight,unholy,170,89,81
Flizzycash,malganis,1998,deathknight,unholy,86,44,42
Pettyk,tichondrius,1994,deathknight,unholy,77,37,40
Roidboy,illidan,1992,deathknight,unholy,215,108,107
Vigarst,azralon,1989,deathknight,unholy,72,38,34
Dahnga,frostmourne,1986,deathknight,unholy,84,52,32
Andeadx,tichondrius,1984,deathknight,unholy,60,30,30
Sadboy,grizzly-hills,1984,deathknight,unholy,95,46,49
Skippee,tichondrius,1982,deathknight,unholy,105,56,49
Achílles,sargeras,1979,deathknight,unholy,175,85,90
Scriptløl,sargeras,1975,deathknight,unholy,138,66,72
Gutterboy,malganis,1973,deathknight,unholy,123,57,66
Darkcata,tichondrius,1962,deathknight,unholy,66,28,38
Éternalnight,tichondrius,1955,deathknight,unholy,82,35,47
Wowattorney,tichondrius,1954,deathknight,unholy,148,71,77
Dkya,tichondrius,1953,deathknight,unholy,517,262,255
Vuittons,area-52,1951,deathknight,unholy,351,175,176
Cardii,area-52,1948,deathknight,unholy,183,95,88
Ceomdae,tichondrius,1948,deathknight,unholy,78,37,41
Keetor,tichondrius,1937,deathknight,unholy,72,46,26
Veilsidé,illidan,1935,deathknight,unholy,190,96,94
Ravindrannor,saurfang,1934,deathknight,unholy,83,40,43
Nixonxx,tichondrius,1933,deathknight,unholy,126,78,48
Lagérthâ,ragnaros,1932,deathknight,unholy,93,47,46
Hrsb,tichondrius,1927,deathknight,unholy,142,81,61
Ilceses,area-52,1925,deathknight,unholy,78,37,41
Dominos,tichondrius,1923,deathknight,unholy,84,44,40
Harókz,azralon,1921,deathknight,unholy,161,83,78
Chimps,illidan,1916,deathknight,unholy,68,36,32
Mårlbørø,tichondrius,1915,deathknight,unholy,41,21,20
Zynyzter,malganis,1912,deathknight,unholy,72,41,31
Barakhenaku,illidan,1911,deathknight,unholy,63,33,30
Killinois,tichondrius,1910,deathknight,unholy,47,21,26
Goonaa,tichondrius,1907,deathknight,unholy,78,38,40
Bukum,zuljin,1907,deathknight,unholy,179,82,97
Dazarune,burning-blade,1905,deathknight,unholy,52,30,22
Thotiannaqt,area-52,1900,deathknight,unholy,130,66,64
Bbidd,tichondrius,1898,deathknight,unholy,66,40,26
Skppee,tichondrius,1896,deathknight,unholy,56,31,25
Evilduck,ragnaros,1894,deathknight,unholy,96,55,41
Volyant,frostmourne,1893,deathknight,unholy,72,37,35
Barelyviable,tichondrius,1893,deathknight,unholy,78,34,44
Warrcc,steamwheedle-cartel,1890,deathknight,unholy,60,30,30
Darktone,tichondrius,1881,deathknight,unholy,65,36,29
Malhandir,bleeding-hollow,1880,deathknight,unholy,41,23,18
Keomdae,tichondrius,1876,deathknight,unholy,71,34,37
Muspel,sargeras,1872,deathknight,unholy,71,36,35
Amatox,moon-guard,1864,deathknight,unholy,50,26,24
Bloodbruh,blackrock,1863,deathknight,unholy,90,49,41
Serwestley,stormrage,1860,deathknight,unholy,238,117,121
Cavaliers,ragnaros,1860,deathknight,unholy,72,35,37
Lattè,area-52,1859,deathknight,unholy,55,30,25
Geomdae,tichondrius,1859,deathknight,unholy,83,35,48
Darkdj,kelthuzad,1857,deathknight,unholy,247,119,128
Starshopping,proudmoore,1854,deathknight,unholy,117,59,58
Claudio,tichondrius,1853,deathknight,unholy,93,37,56
Brutos,thrall,1851,deathknight,unholy,104,56,48
Divinium,bleeding-hollow,1851,deathknight,unholy,66,31,35
Tduggylolz,tichondrius,1851,deathknight,unholy,60,26,34
Dill,madoran,1850,deathknight,unholy,72,32,40
Morbiddesire,stormrage,1849,deathknight,unholy,87,49,38
Iato,sargeras,1849,deathknight,unholy,105,59,46
Céle,area-52,1849,deathknight,unholy,54,29,25
Deuter,quelthalas,1845,deathknight,unholy,315,168,147
Tokyotimxx,malganis,1842,deathknight,unholy,48,30,18
