name,realm,cls
Jakeboyswag,shandris,deathknight
Pride,ragnaros,deathknight
Phearbunny,bleeding-hollow,deathknight
Bloodgorged,frostmane,deathknight
Blasphemus,malganis,deathknight
Tiumau,goldrinn,deathknight
Displaced,tichondrius,deathknight
Katka,illidan,deathknight
Eteson,tichondrius,deathknight
Jojosupadk,frostmourne,deathknight
Yafa,bonechewer,deathknight
Oql,tichondrius,deathknight
Vigasick,azralon,deathknight
Vigarst,azralon,deathknight
Petkick,tichondrius,deathknight
Giveretms,azralon,deathknight
Pwaff,illidan,deathknight
Defeated,illidan,deathknight
Flarky,area-52,deathknight
Kciktep,tichondrius,deathknight
Sonoftwodads,thrall,deathknight
Poubelle,malganis,deathknight
Bukum,zuljin,deathknight
Claudio,tichondrius,deathknight
Flarkness,area-52,deathknight
Pookr,area-52,deathknight
Nofoamlattes,thrall,deathknight
Níngjìng,tichondrius,deathknight
Sixtybones,area-52,deathknight
Thorediks,stormrage,deathknight
Darkcata,tichondrius,deathknight
Neroxzdvm,area-52,deathknight
Hickish,tichondrius,deathknight
Partywaffles,illidan,deathknight
Éternalnight,tichondrius,deathknight
Howdoulose,illidan,deathknight
Keator,tichondrius,deathknight
Neroxz,area-52,deathknight
Buldrokastee,tichondrius,deathknight
Dreâmer,tichondrius,deathknight
Darktonelol,tichondrius,deathknight
Graphics,moon-guard,deathknight
Iililïlilil,tichondrius,deathknight
Bemydog,tichondrius,deathknight
Toxicwaste,malganis,deathknight
Lumantho,stormrage,deathknight
Scriptløl,sargeras,deathknight
Andeadx,tichondrius,deathknight
Barelyviable,tichondrius,deathknight
Geomdae,tichondrius,deathknight
Wenyl,tichondrius,deathknight
Búddy,zuljin,deathknight
Ceomdae,tichondrius,deathknight
Maxxco,tichondrius,deathknight
Bukumo,zuljin,deathknight
Shadowsdk,tichondrius,deathknight
Jerrylorenzo,tichondrius,deathknight
Zac,malganis,deathknight
Mesx,illidan,deathknight
Chachio,kiljaeden,deathknight
Techneeq,tichondrius,deathknight
Mesx,tichondrius,deathknight
Bruceleedk,tichondrius,deathknight
Cptsäveähöe,tichondrius,deathknight
Dkdkdkdkdk,chromaggus,deathknight
Todesgott,durotan,deathknight
Bryku,tichondrius,deathknight
Sbsbsbs,tichondrius,deathknight
Killinois,tichondrius,deathknight
Achílles,sargeras,deathknight
Defallen,darrowmere,deathknight
Honan,malganis,deathknight
Wowattorney,tichondrius,deathknight
Hotdk,thrall,deathknight
Coachclaudio,tichondrius,deathknight
Exaar,tichondrius,deathknight
Crink,sargeras,deathknight
Dementrius,zuljin,deathknight
Mahirux,tichondrius,deathknight
Fatzilla,tichondrius,deathknight
Närasimha,tichondrius,deathknight
Etcperpetual,tichondrius,deathknight
Yoinkzz,illidan,deathknight
Barakhenaku,illidan,deathknight
Sadboy,grizzly-hills,deathknight
Sýñn,baelgun,deathknight
Fudaballa,malganis,deathknight
Amsmall,tichondrius,deathknight
Cloüd,wyrmrest-accord,deathknight
Hanung,tichondrius,deathknight
Dawnsnowz,tichondrius,deathknight
Wheelchäir,tichondrius,deathknight
Carryme,quelthalas,deathknight
Attack,grizzly-hills,deathknight
