name,realm,rating,cls,spec,play,win,lose
Rahbekius,kazzak,1519,deathknight,blood,225,103,122
Bloodzin,frostwhisper,1515,deathknight,blood,60,28,32
Эваер,blackscar,1506,deathknight,blood,60,29,31
Hoggster,kazzak,1416,deathknight,blood,81,31,50
Maylined,antonidas,1284,deathknight,blood,54,23,31
Horrorda,defias-brotherhood,1236,deathknight,blood,56,29,27
Nîghtmáre,ravencrest,1124,deathknight,blood,47,24,23
Ducados,forscherliga,952,deathknight,blood,24,12,12
Minoporc,archimonde,823,deathknight,blood,57,20,37
Rahbekies,kazzak,781,deathknight,blood,19,9,10
Schiva,eredar,745,deathknight,blood,35,12,23
Wickedgray,outland,672,deathknight,blood,12,7,5
Rakia,defias-brotherhood,645,deathknight,blood,24,7,17
Helixnc,silvermoon,576,deathknight,blood,18,6,12
Smalldk,silvermoon,574,deathknight,blood,18,6,12
Оосака,gordunni,573,deathknight,blood,24,6,18
Downtoclown,argent-dawn,480,deathknight,blood,12,5,7
Schwuischädl,eredar,479,deathknight,blood,12,5,7
Zdan,sylvanas,476,deathknight,blood,12,5,7
Pechugona,zuljin,476,deathknight,blood,30,5,25
Oxcidium,archimonde,473,deathknight,blood,18,5,13
Akamechân,frostmourne,382,deathknight,blood,6,4,2
Airok,proudmoore,381,deathknight,blood,12,4,8
Hellcrosser,blackrock,381,deathknight,blood,12,4,8
Naxmet,dun-modr,381,deathknight,blood,30,4,26
Pinkish,argent-dawn,379,deathknight,blood,12,4,8
Hjertesalat,ravencrest,317,deathknight,blood,8,4,4
Барагган,thermaplugg,288,deathknight,blood,6,3,3
Goochtickler,kazzak,288,deathknight,blood,6,3,3
Кмамехочу,howling-fjord,288,deathknight,blood,18,3,15
Buklow,argent-dawn,287,deathknight,blood,9,3,6
Dromadeus,sylvanas,286,deathknight,blood,12,3,9
Cyphîllyth,auchindoun,192,deathknight,blood,6,2,4
Calculated,spinebreaker,192,deathknight,blood,6,2,4
Drruiel,twisting-nether,96,deathknight,blood,6,1,5
Livanto,ahnqiraj,96,deathknight,blood,6,1,5
Maradk,drakthul,96,deathknight,blood,6,1,5
Dreodis,der-mithrilorden,96,deathknight,blood,6,1,5
Fixmybones,frostmane,96,deathknight,blood,6,1,5
Страхолит,soulflayer,2160,deathknight,unholy,224,113,111
Кромгона,soulflayer,2154,deathknight,unholy,178,109,69
Хайвейтухэлл,soulflayer,2133,deathknight,unholy,102,52,50
Lilshiet,stormreaver,2121,deathknight,unholy,102,51,51
Нишимба,soulflayer,2053,deathknight,unholy,150,73,77
Aryash,silvermoon,2035,deathknight,unholy,90,46,44
Bíllÿ,kazzak,2003,deathknight,unholy,104,56,48
Валькейн,blackscar,1997,deathknight,unholy,72,38,34
Elite,xavius,1985,deathknight,unholy,187,96,91
Murky,kazzak,1982,deathknight,unholy,316,157,159
Leónid,kazzak,1962,deathknight,unholy,72,36,36
Enzy,drakthul,1960,deathknight,unholy,47,28,19
Bóby,ravencrest,1956,deathknight,unholy,366,176,190
Conqueròr,tarren-mill,1939,deathknight,unholy,237,111,126
Дайтоолгоун,gordunni,1937,deathknight,unholy,113,56,57
Zd,ghostlands,1933,deathknight,unholy,106,50,56
Worlviuz,argent-dawn,1932,deathknight,unholy,153,77,76
Кромгон,soulflayer,1919,deathknight,unholy,115,58,57
Bøby,kul-tiras,1917,deathknight,unholy,60,31,29
Shadowdeathj,kazzak,1913,deathknight,unholy,54,27,27
Zdi,tarren-mill,1905,deathknight,unholy,81,40,41
Bedstemoor,ravencrest,1899,deathknight,unholy,144,72,72
Storhøf,sanguino,1897,deathknight,unholy,120,64,56
Frege,tarren-mill,1891,deathknight,unholy,120,63,57
Шайбовёрт,gordunni,1884,deathknight,unholy,130,66,64
Fxckingmad,ravencrest,1883,deathknight,unholy,84,43,41
Yazga,blackmoore,1883,deathknight,unholy,65,32,33
Akaliz,die-aldor,1876,deathknight,unholy,66,35,31
Smallbaboon,stormreaver,1876,deathknight,unholy,66,30,36
Ipanic,argent-dawn,1875,deathknight,unholy,228,120,108
Eyyoo,blackmoore,1875,deathknight,unholy,70,35,35
Shanariel,khaz-modan,1874,deathknight,unholy,174,99,75
Necrølyte,sylvanas,1874,deathknight,unholy,120,64,56
Ðavy,silvermoon,1862,deathknight,unholy,66,33,33
Narali,argent-dawn,1859,deathknight,unholy,72,34,38
