name,realm,rating,cls,spec,play,win,lose
Phearbunny,bleeding-hollow,1523,deathknight,blood,60,31,29
Pagumon,moon-guard,1144,deathknight,blood,60,23,37
Bloodbukkaky,bleeding-hollow,1046,deathknight,blood,30,11,19
Tragül,sargeras,1039,deathknight,blood,30,14,16
Valind,eredar,854,deathknight,blood,18,9,9
Insonne,dalaran,837,deathknight,blood,18,9,9
Blasphemus,malganis,575,deathknight,blood,12,6,6
Tristam,area-52,384,deathknight,blood,6,4,2
ßläzë,baelgun,288,deathknight,blood,15,4,11
Kimbøslîce,area-52,288,deathknight,blood,12,3,9
Cerbeefquake,wyrmrest-accord,192,deathknight,blood,6,2,4
Unhølydøøm,misha,191,deathknight,blood,12,2,10
Nbayoungboy,kiljaeden,96,deathknight,blood,6,1,5
Lunatick,darkspear,96,deathknight,blood,6,1,5
Cozzasad,barthilas,96,deathknight,blood,6,1,5
Gnargnarr,firetree,96,deathknight,blood,6,1,5
Hulmorr,bleeding-hollow,64,deathknight,blood,4,1,3
Zerhistran,proudmoore,64,deathknight,blood,4,1,3
Pwaff,illidan,2125,deathknight,unholy,89,45,44
Spaidzz,malganis,2107,deathknight,unholy,134,70,64
Neroxz,area-52,2105,deathknight,unholy,83,43,40
Partywaffles,illidan,2046,deathknight,unholy,128,66,62
Qipara,zuljin,2044,deathknight,unholy,92,49,43
Níngjìng,tichondrius,2041,deathknight,unholy,78,41,37
Juelzjerk,tichondrius,2010,deathknight,unholy,60,36,24
Graphics,moon-guard,2007,deathknight,unholy,274,136,138
Scriptløl,sargeras,1975,deathknight,unholy,138,66,72
Brutos,thrall,1939,deathknight,unholy,80,47,33
Vineyard,area-52,1919,deathknight,unholy,149,73,76
Cavaliers,ragnaros,1917,deathknight,unholy,60,31,29
Roidboy,illidan,1917,deathknight,unholy,91,44,47
Toxicwaste,malganis,1916,deathknight,unholy,64,29,35
Mårlbørø,tichondrius,1915,deathknight,unholy,41,21,20
Darkdj,kelthuzad,1914,deathknight,unholy,73,34,39
Éternalnight,tichondrius,1913,deathknight,unholy,76,32,44
Zynyzter,malganis,1912,deathknight,unholy,72,41,31
Wøund,black-dragonflight,1911,deathknight,unholy,136,73,63
Veilsidé,kelthuzad,1910,deathknight,unholy,250,125,125
Geomdae,tichondrius,1901,deathknight,unholy,71,31,40
Chillb,deathwing,1900,deathknight,unholy,89,50,39
Bruceleedk,tichondrius,1896,deathknight,unholy,82,44,38
Plagueflavor,tichondrius,1876,deathknight,unholy,151,77,74
Ilceses,area-52,1870,deathknight,unholy,66,29,37
Iato,sargeras,1868,deathknight,unholy,60,39,21
Brandonsdk,tichondrius,1867,deathknight,unholy,54,29,25
Flarkness,area-52,1864,deathknight,unholy,60,28,32
Drauguss,azralon,1860,deathknight,unholy,106,53,53
Lattè,area-52,1859,deathknight,unholy,55,30,25
Bloodbruh,blackrock,1854,deathknight,unholy,60,34,26
Morbiddesire,stormrage,1849,deathknight,unholy,87,49,38
Didri,quelthalas,1846,deathknight,unholy,72,34,38
Sinell,kargath,1841,deathknight,unholy,103,60,43
Achílles,sargeras,1838,deathknight,unholy,157,71,86
Riddles,maiev,1837,deathknight,unholy,119,64,55
Blackfyré,sargeras,1837,deathknight,unholy,62,32,30
Haldevarik,doomhammer,1834,deathknight,unholy,78,43,35
Kilohotel,stormrage,1832,deathknight,unholy,36,22,14
Orphanmakerx,area-52,1832,deathknight,unholy,123,60,63
Aurious,lightnings-blade,1830,deathknight,unholy,84,47,37
Kortingert,nagrand,1830,deathknight,unholy,59,33,26
